Patent ID;Al2O3;BaO;Bi2O3;CaO;CeO2;Fe2O3;K2O;La2O3;Li2O;MgO;Na2O;Nb2O5;P2O5;SiO2;SrO;Ta2O5;TiO2;WO3;Y2O3;ZnO;ZrO2
US20240025797A1;0.05;4.99;0;4.34;0;0.01;5.33;0;0;0.1;9.29;14.97;0;49.92;0.01;0;2.99;0;0;0;7.99
US20240025797A1;0.04;4.99;0;2.5;0;0.01;7.87;0;0;0.08;8.59;14.98;0;49.93;0.01;0;2.99;0;0;0;7.99
US20240025797A1;0.02;8.47;0;0;0;0;0;0;0;0;18.09;17.71;0;49.9;0.18;0;3.39;0;0;0;2.25
US20240025797A1;0.02;9.94;0;0;0;0;0;0;0;0;16.61;17.34;0;49.88;0.21;0;3.39;0;0;0;2.62
US20240025797A1;0.02;11.41;0;0;0;0;0;0;0;0;15.12;16.96;0;49.87;0.24;0;3.39;0;0;0;2.99
US20240025797A1;0.02;9.93;0;0;0;0;0;0;0;0;15.44;16.95;0;49.88;0.21;0;4.56;0;0;0;3.01
US20240025797A1;0.02;8.46;0;0;0;0;0;0;0;0;15.77;16.94;0;49.9;0.17;0;5.71;0;0;0;3.02
US20240025797A1;0.02;12.9;0;0;0;0;0;0;0;0;13.63;16.59;0;49.85;0.26;0;3.38;0;0;0;3.36
US20240025797A1;0.02;11.39;0;0;0;0;0;0;0;0;13.97;16.58;0;49.86;0.24;0;4.55;0;0;0;3.37
US20240025797A1;0.02;9.92;0;0;0;0;0;0;0;0;14.3;16.57;0;49.88;0.21;0;5.71;0;0;0;3.39
US20240025797A1;0.02;8.46;0;0;0;0;0;0;0;0;14.63;16.56;0;49.9;0.17;0;6.84;0;0;0;3.4
US20240025797A1;0.03;14.38;0;0;0;0;0;0;0;0;12.13;16.2;0;49.84;0.3;0;3.38;0;0;0;3.73
US20240025797A1;0.03;15.87;0;0;0;0;0;0;0;0;10.63;15.83;0;49.82;0.33;0.01;3.38;0;0;0;4.1
US20240025797A1;0.03;17.37;0;0;0;0;0;0;0;0;9.12;15.44;0;49.81;0.36;0.01;3.39;0;0;0;4.48
US20240025797A1;0.03;15.82;0;0;0;0;0;0;0;0;9.5;15.45;0;49.82;0.33;0.01;4.56;0;0;0;4.48
US20240025797A1;0.03;14.3;0;0;0;0;0;0;0;0;9.88;15.44;0;49.83;0.3;0;5.73;0;0;0;4.49
US20240025797A1;0.03;18.87;0;0;0;0;0;0;0;0;7.61;15.06;0;49.79;0.39;0.01;3.39;0;0;0;4.85
US20240025797A1;0.03;15.77;0;0;0;0;0;0;0;0;8.38;15.07;0;49.81;0.33;0;5.73;0;0;0;4.86
US20240025797A1;0.03;14.26;0;0;0;0;0;0;0;0;8.77;15.07;0;49.83;0.29;0;6.87;0;0;0;4.86
US20240025797A1;0.02;13.38;0;0;0;0;0;0;0;0;12.75;16.34;0;49.85;0.27;0;3.77;0;0;0;3.61
US20240025797A1;0.02;11.87;0;0;0;0;0;0;0;0;13.1;16.32;0;49.86;0.25;0;4.95;0;0;0;3.62
